Learning rate;L2;Accuracy;Precision;Recall;F1;Confusion matrix
8.979834148143362E-4;0.026145595329283795;0.71744;0.7373799126637555;0.67544;0.7050521920668058;0:,,Predicted Class,,,0,1,TotalActual Class,0,9493,3007,12500,1,4057,8443,12500,Total,13550,11450,
5.814785884564627E-4;0.07198112846578929;0.5;0.0;0.0;0.0;0:,,Predicted Class,,,0,1,TotalActual Class,0,12500,0,12500,1,12500,0,12500,Total,25000,0,
2.908928189741479E-4;0.044840165315452145;0.71264;0.7321397379912664;0.67064;0.7000417536534447;0:,,Predicted Class,,,0,1,TotalActual Class,0,9433,3067,12500,1,4117,8383,12500,Total,13550,11450,
9.521984770519426E-4;0.06410564746424681;0.71168;0.7244274809160305;0.68328;0.7032523672293125;0:,,Predicted Class,,,0,1,TotalActual Class,0,9251,3249,12500,1,3959,8541,12500,Total,13210,11790,
5.549199855077784E-4;0.06177247269714057;0.7114;0.70652598671356;0.7232;0.7147657639849772;0:,,Predicted Class,,,0,1,TotalActual Class,0,8745,3755,12500,1,3460,9040,12500,Total,12205,12795,
5.019840408327314E-4;0.07402109179639442;0.50004;1.0;8.0E-5;1.5998720102391808E-4;0:,,Predicted Class,,,0,1,TotalActual Class,0,12500,0,12500,1,12499,1,12500,Total,24999,1,
8.715183609939472E-4;0.007055652940421714;0.72344;0.7108242753623188;0.75336;0.7314742892651857;0:,,Predicted Class,,,0,1,TotalActual Class,0,8669,3831,12500,1,3083,9417,12500,Total,11752,13248,
4.7685482111176005E-4;0.07741737514246942;0.50004;1.0;8.0E-5;1.5998720102391808E-4;0:,,Predicted Class,,,0,1,TotalActual Class,0,12500,0,12500,1,12499,1,12500,Total,24999,1,
1.8480204676340518E-4;0.0782955889629166;0.49992;0.4166666666666667;4.0E-4;7.992327365728901E-4;0:,,Predicted Class,,,0,1,TotalActual Class,0,12493,7,12500,1,12495,5,12500,Total,24988,12,
7.406915235053133E-4;0.0702038028265162;0.5;0.0;0.0;0.0;0:,,Predicted Class,,,0,1,TotalActual Class,0,12500,0,12500,1,12500,0,12500,Total,25000,0,
2.4895787469567305E-4;0.034308060026964106;0.71088;0.7456205739843459;0.64016;0.6888774104683195;0:,,Predicted Class,,,0,1,TotalActual Class,0,9770,2730,12500,1,4498,8002,12500,Total,14268,10732,
7.847330083489128E-4;0.08761495927986296;0.5;0.0;0.0;0.0;0:,,Predicted Class,,,0,1,TotalActual Class,0,12500,0,12500,1,12500,0,12500,Total,25000,0,
3.367023882474209E-5;0.0957314750965577;0.57088;0.564539627039627;0.62;0.5909714808601495;0:,,Predicted Class,,,0,1,TotalActual Class,0,6522,5978,12500,1,4750,7750,12500,Total,11272,13728,
3.099630704528E-4;0.005202913716980185;0.72128;0.7542279411764706;0.65648;0.70196749358426;0:,,Predicted Class,,,0,1,TotalActual Class,0,9826,2674,12500,1,4294,8206,12500,Total,14120,10880,
6.914970269523644E-4;0.006424066446989153;0.7262;0.7312505111638178;0.71528;0.723177093865006;0:,,Predicted Class,,,0,1,TotalActual Class,0,9214,3286,12500,1,3559,8941,12500,Total,12773,12227,
3.5553930205238016E-4;0.01883103821855316;0.71832;0.7358686257562662;0.68112;0.707436643124221;0:,,Predicted Class,,,0,1,TotalActual Class,0,9444,3056,12500,1,3986,8514,12500,Total,13430,11570,
4.368469435209041E-4;0.006544597192447862;0.72344;0.7298765432098765;0.70944;0.7195131845841785;0:,,Predicted Class,,,0,1,TotalActual Class,0,9218,3282,12500,1,3632,8868,12500,Total,12850,12150,
7.339854225978938E-4;0.06065315230483771;0.71164;0.7059235619210711;0.72552;0.7155876435081074;0:,,Predicted Class,,,0,1,TotalActual Class,0,8722,3778,12500,1,3431,9069,12500,Total,12153,12847,
2.2836910817107563E-4;0.08887862879569179;0.5;0.5;1.0;0.6666666666666666;0:,,Predicted Class,,,0,1,TotalActual Class,0,0,12500,12500,1,0,12500,12500,Total,0,25000,
2.825701130857589E-4;0.06083997413717649;0.70728;0.7382309672673777;0.64232;0.6869438740588638;0:,,Predicted Class,,,0,1,TotalActual Class,0,9653,2847,12500,1,4471,8029,12500,Total,14124,10876,
9.50619975270454E-4;2.4863684235101885E-4;0.75052;0.7386995960057932;0.77528;0.7565478746243023;0:,,Predicted Class,,,0,1,TotalActual Class,0,9072,3428,12500,1,2809,9691,12500,Total,11881,13119,
3.448789943331737E-4;0.01601411096996699;0.71884;0.7406527667810329;0.67352;0.7054929400427369;0:,,Predicted Class,,,0,1,TotalActual Class,0,9552,2948,12500,1,4081,8419,12500,Total,13633,11367,
6.835678464641925E-4;0.037209536845392834;0.716;0.7211302211302212;0.7044;0.7126669364629705;0:,,Predicted Class,,,0,1,TotalActual Class,0,9095,3405,12500,1,3695,8805,12500,Total,12790,12210,
3.3522894040227344E-4;0.026927791226955947;0.717;0.7276160107409583;0.69368;0.7102428635786542;0:,,Predicted Class,,,0,1,TotalActual Class,0,9254,3246,12500,1,3829,8671,12500,Total,13083,11917,
8.567397847151697E-4;0.02607006534585421;0.71764;0.7357656642690008;0.6792;0.7063521777112194;0:,,Predicted Class,,,0,1,TotalActual Class,0,9451,3049,12500,1,4010,8490,12500,Total,13461,11539,
1.3096576223202961E-4;0.004800598618739701;0.72056;0.7512301804264625;0.65952;0.7023941381954503;0:,,Predicted Class,,,0,1,TotalActual Class,0,9770,2730,12500,1,4256,8244,12500,Total,14026,10974,
4.90327545238197E-4;0.03787387756643813;0.715;0.7126691461581072;0.72048;0.7165532879818595;0:,,Predicted Class,,,0,1,TotalActual Class,0,8869,3631,12500,1,3494,9006,12500,Total,12363,12637,
1.378217110759841E-4;0.04190556192785766;0.71488;0.726590180529779;0.68904;0.7073170731707318;0:,,Predicted Class,,,0,1,TotalActual Class,0,9259,3241,12500,1,3887,8613,12500,Total,13146,11854,
9.051508077041259E-4;0.07727212231825487;0.5;0.0;0.0;0.0;0:,,Predicted Class,,,0,1,TotalActual Class,0,12500,0,12500,1,12500,0,12500,Total,25000,0,
8.444106454487838E-4;0.03855129882524893;0.71148;0.7454275369046514;0.64232;0.6900434016587168;0:,,Predicted Class,,,0,1,TotalActual Class,0,9758,2742,12500,1,4471,8029,12500,Total,14229,10771,
4.1885351413910267E-4;0.03607906138565494;0.71652;0.7134968841208488;0.7236;0.7185129284664574;0:,,Predicted Class,,,0,1,TotalActual Class,0,8868,3632,12500,1,3455,9045,12500,Total,12323,12677,
6.544634919953713E-5;0.06689475535318513;0.7086;0.7133622453154407;0.69744;0.7053112738157841;0:,,Predicted Class,,,0,1,TotalActual Class,0,8997,3503,12500,1,3782,8718,12500,Total,12779,12221,
4.858629325047509E-4;0.03140863306475763;0.7158;0.7103970049138133;0.72864;0.7194028671853402;0:,,Predicted Class,,,0,1,TotalActual Class,0,8787,3713,12500,1,3392,9108,12500,Total,12179,12821,
1.5365282738340135E-4;0.08678701359312416;0.49992;0.4375;5.6E-4;0.0011185682326621924;0:,,Predicted Class,,,0,1,TotalActual Class,0,12491,9,12500,1,12493,7,12500,Total,24984,16,
6.810070163728956E-4;0.01719281323300496;0.71968;0.7109711124769514;0.74032;0.7253488007524691;0:,,Predicted Class,,,0,1,TotalActual Class,0,8738,3762,12500,1,3246,9254,12500,Total,11984,13016,
5.658959139711494E-5;0.08038366651210353;0.5594;0.5533596837944664;0.616;0.5830020821502934;0:,,Predicted Class,,,0,1,TotalActual Class,0,6285,6215,12500,1,4800,7700,12500,Total,11085,13915,
1.6383213439911164E-4;0.09054812826445166;0.49988;0.42857142857142855;7.2E-4;0.0014375848574395018;0:,,Predicted Class,,,0,1,TotalActual Class,0,12488,12,12500,1,12491,9,12500,Total,24979,21,
7.430882360063393E-4;0.031652973546534825;0.7168;0.7262103505843072;0.696;0.7107843137254901;0:,,Predicted Class,,,0,1,TotalActual Class,0,9220,3280,12500,1,3800,8700,12500,Total,13020,11980,
5.803587836763859E-4;0.05641784087348659;0.71156;0.7047936188337335;0.72808;0.7162475898162357;0:,,Predicted Class,,,0,1,TotalActual Class,0,8688,3812,12500,1,3399,9101,12500,Total,12087,12913,
